title,isbn,isbn13,genre,pages
"angels (walsh family, #3)",60512148,9780060512150.0,Romance,496
"""حكايات فرغلي المستكاوي ""حكايتى مع كفر السحلاوية",,9789774881300.0,Desconocido,211
#girlboss,039916927X,9780399169270.0,Negocios y economía,256
'salem's lot,450031063,9780450031070.0,Horror,483
"'tis (frank mccourt, #2)",6551815,9780006551810.0,Biografía/Autobiografía,400
"1,000 places to see before you die",761104844,9780761104840.0,Viajes y guías,974
1/4 جرام,,9789771754960.0,Desconocido,349
"10% happier: how i tamed the voice in my head, reduced stress without losing my edge, and found self-help that actually works",62265423,9780062265420.0,Desarrollo personal,256
"100 bullets, vol. 1: first shot, last call",1563896451,9781563896450.0,Thriller/Misterio,128
100 love sonnets,292760280,9780292760290.0,Poesía,225
100 selected poems,802130720,9780802130720.0,Poesía,128
"10th anniversary (women's murder club, #10)",316036269,9780316036270.0,Thriller/Misterio,400
"11 birthdays (willow falls, #1)",545052394,9780545052400.0,Juvenil (Young Adult - YA),272
11/22/63,1451627289,9781451627280.0,Ciencia ficción,849
"11th hour (women's murder club, #11)",1846057914,9781846057920.0,Thriller/Misterio,400
"12th of never (women's murder club, #12)",,,Thriller/Misterio,416
"13 gifts (willow falls, #3)",545310032,9780545310030.0,Juvenil (Young Adult - YA),304
13 hours: the inside account of what really happened in benghazi,1455530093,9781455530090.0,Historia,432
"13 little blue envelopes (little blue envelope, #1)",60541431,9780060541440.0,Juvenil (Young Adult - YA),320
14,,,Desconocido,N/A
1421: the year china discovered america,006054094X,9780060540940.0,Historia,552
1491: new revelations of the americas before columbus,1400032059,9781400032050.0,Historia,541
1493: uncovering the new world columbus created,307265722,9780307265720.0,Historia,672
"14th deadly sin (women’s murder club, #14)",1780892888,9781780892890.0,Thriller/Misterio,400
15th affair (women's murder club #15),1784751995,9781784752000.0,Thriller/Misterio,432
"16 lighthouse road (cedar cove, #1)",739420232,9780739420230.0,Romance,368
1776,743226720,9780743226720.0,Historia,386
1919,,9789770932930.0,Desconocido,359
1984,451524934,9780451524940.0,Ciencia ficción,328
1q84,307593312,9780307593310.0,Fantasía,925
"1q84 #1-2 (1q84, #1-2)",,,Fantasía,624
"1q84 book 1 (1q84, #1)",4103534222,9784103534230.0,Fantasía,316
"1q84 book 2 (1q84, #2)",4103534230,9784103534240.0,Fantasía,296
"1q84 book 3 (1q84, #3)",4103534257,9784103534260.0,Fantasía,351
"1st to die (women's murder club, #1)",446696617,9780446696620.0,Thriller/Misterio,424
2 states: the story of my marriage,8129115301,9788129115300.0,Romance,269
2 ضباط,,,Desconocido,N/A
"2001: a space odyssey (space odyssey, #1)",451457994,9780451458000.0,Ciencia ficción,297
"2010: odyssey two (space odyssey, #2)",345413970,9780345413970.0,Ciencia ficción,320
"204 rosewood lane (cedar cove, #2)",778322602,9780778322600.0,Romance,384
"206 bones (temperance brennan, #12)",743294394,9780743294390.0,Thriller/Misterio,368
"2061: odyssey three (space odyssey, #3)",586203192,9780586203190.0,Ciencia ficción,304
20th century ghosts,61147974,9780061147980.0,Horror,416
2312,316098124,9780316098120.0,Ciencia ficción,561
2666,843396867X,9788433968680.0,Literatura clásica,1128
28 حرف,,,Desconocido,N/A
2br02b,,,Ciencia ficción,10
"2nd chance (women's murder club, #2)",446696633,9780446696630.0,Thriller/Misterio,400
"30 days of night, vol. 1",971977550,9780971977560.0,Horror,104
300,1569714029,9781569714030.0,Ficción histórica,88
"3001: the final odyssey (space odyssey, #4)",345438205,9780345438200.0,Ciencia ficción,288
"3rd degree (women's murder club, #3)",446614831,9780446614830.0,Thriller/Misterio,384
"44 scotland street (44 scotland street, #1)",1400079446,9781400079440.0,Desconocido,320
"4:50 from paddington (miss marple, #8)",1579126936,9781579126930.0,Thriller/Misterio,288
"4th of july (women's murder club, #4)",446613363,9780446613360.0,Thriller/Misterio,432
5 very good reasons to punch a dolphin in the mouth and other useful guides,1449401163,9781449401160.0,Humor (No listado),168
5 cm,9797591514,9789797591520.0,Aventuras,381
"61 hours (jack reacher, #14)",385340583,9780385340590.0,Thriller/Misterio,448
"77 shadow street (pendleton, #1)",553807714,9780553807710.0,Horror,464
7: an experimental mutiny against excess,1433672960,9781433672960.0,Religión y espiritualidad,272
"7th heaven (women's murder club, #7)",316017701,9780316017700.0,Thriller/Misterio,432
"84, charing cross road",140143505,9780140143510.0,Biografía/Autobiografía,112
90 minutes in heaven: a true story of death and life,800759494,9780800759490.0,Religión y espiritualidad,224
a bad case of stripes,439598389,9780439598380.0,Literatura infantil,32
a bargain for frances,006444001X,9780064440010.0,Literatura infantil,64
"a bear called paddington (paddington, #1)",7174160,9780007174160.0,Literatura infantil,176
"a beautiful dark (a beautiful dark, #1)",61990655,9780061990660.0,Juvenil (Young Adult - YA),384
a beautiful mind,571212921,9780571212930.0,Biografía/Autobiografía,461
"a beautiful wedding (beautiful, #2.5)",1476759545,9781476759550.0,Romance,144
a bend in the river,330487140,9780330487150.0,Ficción histórica,304
a bend in the road,446696137,9780446696140.0,Romance,448
"a better world (brilliance saga, #2)",,,Ciencia ficción,336
a bite to remember (argeneau #5),006077407X,9780060774070.0,Romance,384
"a blaze of sun (a shade of vampire, #5)",,,Fantasía,312
a book of five rings: the classic guide to strategy,517415283,9780517415280.0,Filosofía,96
"a breath of snow and ashes (outlander, #6)",385340397,9780385340400.0,Ficción histórica,1157
a bridge too far,450837319,9780450837320.0,Historia,670
a brief history of seven killings,159448600X,9781594486000.0,Ficción histórica,688
a brief history of time,553380168,9780553380160.0,Ciencia,212
a briefer history of time,553804367,9780553804360.0,Ciencia,176
a canticle for leibowitz,60892994,9780060893000.0,Ciencia ficción,336
"a caress of twilight (merry gentry, #2)",345478169,9780345478160.0,Fantasía,432
"a caribbean mystery (miss marple, #10)",451199928,9780451199930.0,Thriller/Misterio,208
a case of need,451210638,9780451210630.0,Thriller/Misterio,352
"a castle of sand (a shade of vampire, #3)",,,Fantasía,230
"a certain slant of light (light, #1)",061858532X,9780618585330.0,Juvenil (Young Adult - YA),320
a chair for my mother,688040748,9780688040740.0,Literatura infantil,32
a charlie brown christmas,606300538,9780606300540.0,Literatura infantil,32
"a child called ""it"" (dave pelzer #1)",1558743669,9781558743660.0,Biografía/Autobiografía,184
a child's garden of verses,689823827,9780689823820.0,Poesía,73
a christmas carol,1561797464,9781561797460.0,Literatura clásica,112
a christmas carol and other christmas writings,140439056,9780140439050.0,Literatura clásica,288
"a christmas carol, the chimes and the cricket on the hearth",1593080336,9781593080330.0,Literatura clásica,224
a civil action,679772677,9780679772680.0,Derecho,602
"a civil campaign (vorkosigan saga, #12)",671578855,9780671578860.0,Ciencia ficción,512
"a clash of kings  (a song of ice and fire, #2)",553381695,9780553381700.0,Fantasía,969
a clockwork orange,393312836,9780393312840.0,Ciencia ficción,192
a color of his own,375836977,9780375836980.0,Literatura infantil,32
a complicated kindness,1582433224,9781582433230.0,Juvenil (Young Adult - YA),256
a coney island of the mind,811200418,9780811200420.0,Poesía,92
a confederacy of dunces,802130208,9780802130200.0,Literatura clásica,394
a connecticut yankee in king arthur's court,1416534733,9781416534730.0,Literatura clásica,464
a constellation of vital phenomena,770436420,9780770436420.0,Ficción histórica,386
a cook's tour: global adventures in extreme cuisines,60012781,9780060012790.0,Viajes y guías,320
a corner of the universe,439771242,9780439771240.0,Juvenil (Young Adult - YA),208
a countess below stairs,142408654,9780142408650.0,Romance,400
a course in miracles,670869759,9780670869760.0,Religión y espiritualidad,1333
"a court of mist and fury (a court of thorns and roses, #2)",,,Fantasía,624
"a court of thorns and roses (a court of thorns and roses, #1)",1619634449,9781619634440.0,Fantasía,419
"a court of wings and ruin (a court of thorns and roses, #3)",1408857901,9781408857910.0,Fantasía,699
"a crown of swords (wheel of time, #7)",812550285,9780812550280.0,Fantasía,856
a cry in the night,743484355,9780743484350.0,Thriller/Misterio,352
"a dance with dragons (a song of ice and fire, #5)",,,Fantasía,1040
